Event year,landslide category,landslide trigger,landslide size,fatality_count,injury_count,longitude (decimal degrees),latitude (decimal degrees)
2016,2,10,200,2,0,3.351692,6.60222
2016,1,10,100,3,0,71.398496,34.525881
2017,1,10,100,0,0,85.91050294,27.90362599
2017,1,10,200,0,0,94.21263589,27.98531715
2017,1,20,100,0,0,94.24222574,26.11613908
2017,2,30,100,0,0,-72.44447441,43.10590179
2017,1,30,100,0,0,175.2344014,-36.95665535
2017,1,20,200,1,1,92.17584376,21.42181705
2017,1,10,100,0,0,94.26296826,27.97875751
2016,1,10,200,0,0,123.821113,10.283626
2017,1,30,200,2,0,92.21525816,21.04270451
2017,1,20,200,0,0,88.29518925,26.90298048
2017,1,20,100,0,0,-61.54264771,10.68399129
2017,1,20,200,0,0,106.78629,-6.558993431
2017,1,20,300,0,0,108.5421686,28.54909078
2017,1,10,200,0,0,167.940244,-44.675943
2017,1,30,200,0,0,94.55427723,26.3312531
2017,1,20,200,0,0,88.25902123,27.02149311
2016,1,10,100,1,0,83.567989,28.372874
2017,2,10,200,0,0,75.19605556,38.74738889
2016,2,20,200,0,0,120.595832,16.404676
2017,2,10,200,6,1,3.381341033,6.622961187
2017,2,10,200,0,0,37.559988,-0.58474
2017,1,10,100,0,0,-103.7798821,44.3517732
2016,1,10,300,0,0,85.01,28.069957
2017,1,10,100,0,0,41.98700247,45.08144863
2017,1,10,100,0,0,-117.226052,47.67463292
2017,1,10,100,0,0,75.46743478,34.27703802
2017,1,10,200,6,1,80.26097734,16.28332586
2017,2,10,200,0,0,72.45209341,41.25565464
2016,1,20,100,1,0,80.237218,30.070512
2017,1,30,200,0,0,93.20266204,24.21988831
2016,1,10,100,2,1,86.1804,27.6835
2017,2,10,200,8,0,-100.6903727,17.1523721
2017,2,10,100,0,0,-111.650935,40.48808507
2017,1,10,100,0,0,76.8694278,11.34165808
2017,2,40,300,0,0,71.27547914,39.19779968
2017,1,20,100,0,0,93.61589869,22.65620215
2017,1,10,100,0,0,75.37123,32.62803
2017,1,10,200,0,0,98.92090376,29.71492436
2017,1,20,200,0,0,92.94670614,25.15246863
2017,1,30,300,6,0,92.2676503,21.87861504
2016,1,20,200,1,22,116.732231,24.725938
2017,1,30,200,0,0,93.18182448,24.30415689
2016,1,10,100,0,0,78.412784,31.581485
2017,1,10,300,13,0,79.49231617,30.73315585
2017,1,30,200,0,0,75.23162006,33.63251807
2017,1,10,100,0,0,74.66018578,13.90074546
2016,2,10,200,0,0,70.56256,39.978954
2017,1,10,200,0,0,80.630002,29.60012
2017,1,10,200,0,0,120.5927163,0.744821843
2017,1,10,100,0,0,-120.3239812,38.76361817
2017,1,20,200,0,0,123.2109112,9.309786719
2017,1,10,200,5,0,118.8014459,9.94928114
2017,2,10,100,0,0,-119.1365358,53.98572214
2017,1,20,200,3,1,91.8949662,23.86469956
2017,2,10,200,0,5,110.7318885,27.63630585
2017,1,10,100,1,1,79.31958144,30.33597362
2016,1,10,200,0,0,79.451264,29.350849
2017,1,30,100,0,0,103.0563058,26.74386788
2017,1,10,200,3,7,74.41606625,14.42827957
2017,1,10,100,0,0,74.6246332,13.87803507
2017,1,10,200,1,2,88.2667225,26.9653186
2017,1,10,100,0,0,74.93828041,33.01739981
2017,1,10,200,2,0,92.16404889,22.59420297
2017,1,30,100,0,0,-80.35294788,44.51447151
2017,1,30,300,18,0,92.15898865,22.65242372
2016,2,10,300,0,0,78.301945,42.683128
2016,1,30,100,0,1,76.932771,31.70779
2017,2,10,100,0,0,-118.145399,48.51199102
2017,1,10,100,0,0,-81.743517,36.29586263
2017,1,30,100,0,0,105.1071076,8.828619884
2017,1,30,200,0,0,105.0509254,8.774707564
2017,1,20,100,0,0,-82.65673522,37.46259713
2017,1,10,200,8,9,76.80054202,30.94222039
2017,1,10,100,1,2,120.6312641,16.36626096
2017,1,30,200,2,0,91.91261915,22.80452414
2017,1,30,300,50,0,91.97239273,22.44394492
2017,1,20,200,0,1,83.86441477,28.28120123
2017,1,10,100,0,0,74.85970453,12.89674168
2017,1,10,100,0,0,101.7707724,3.013135465
2017,1,10,200,1,8,74.93530189,33.01346369
2017,1,10,100,0,0,93.54136779,27.05880384
2017,1,20,200,0,0,80.160486,6.586835
2017,1,10,100,0,0,-1.959208202,53.72832063
2017,2,10,300,0,1,-122.2792711,51.97686189
2017,1,10,200,0,0,160.1781839,-9.632058442
2016,1,10,100,0,0,111.145575,37.513392
2017,1,10,100,0,3,91.881892,25.907233
2017,1,10,300,23,0,-74.19608968,18.52049393
2017,1,20,200,0,0,94.11844319,25.67061161
2017,1,10,300,2,5,-65.46576609,-23.91300145
2017,1,30,300,0,0,93.15020652,24.32420539
2017,1,10,200,2,0,92.16404889,22.59420297
2016,1,20,200,0,0,-5.672826814,56.87939325
2017,1,10,200,9,0,80.60687667,6.093508095
2017,1,10,100,2,0,92.74744512,23.73354779
2017,1,20,200,0,0,87.67107225,27.33861278
2017,1,10,100,0,0,74.66018578,13.90074546
2017,2,20,200,0,0,94.36416626,25.11956675
2017,2,30,100,0,0,-119.3390619,46.24948002
2017,1,10,200,0,0,72.67711817,41.60140744
2017,1,40,100,0,0,-122.7258149,45.51973384
2017,1,10,200,3,1,91.82931979,24.19467451
2017,1,30,300,18,0,92.15898865,22.65242372
2017,1,30,100,0,0,76.93732121,31.72415448
2017,2,10,100,0,0,-81.01035394,35.14803123
2017,1,20,200,0,0,87.67107225,27.33861278
2017,2,20,100,0,0,114.4132965,29.04080591
2017,1,10,200,0,0,103.2768718,26.92110789
2017,1,20,100,0,0,92.64204045,27.01145644
2017,2,10,100,0,7,11.737339,50.868738
2017,2,30,300,0,0,67.81728309,39.52666359
2017,1,20,100,0,0,74.16234114,15.68638494
2017,1,10,100,0,0,106.6185846,-6.714382566
2017,1,20,200,6,0,80.23142734,6.50950401
2017,2,10,100,,0,-83.50704109,35.72457989
2016,1,30,200,1,1,101.677787,3.185783
2017,1,10,100,0,0,114.04228,4.193408
2017,1,10,100,0,0,-109.4327121,44.76558796
2017,1,20,200,0,0,80.49138664,6.260792736
2017,1,10,200,0,0,88.59676956,27.54295099
2017,2,10,200,1,1,73.51484236,34.78860948
2017,1,10,100,0,0,78.06239076,32.23843313
2017,1,10,200,3,0,83.00633062,28.27909521
2016,1,10,200,0,1,103.8448574,22.33644964
2016,1,10,100,0,0,73.022276,19.170539
2016,2,10,100,0,0,94.104931,25.660517
2017,1,10,300,0,0,84.307977,28.107142
2017,1,10,100,0,0,84.43754872,27.8077847
2016,1,10,100,0,0,-61.521836,10.679445
2016,1,30,100,0,0,100.31801,5.39558
2017,1,30,100,0,0,84.00622259,28.21676766
2016,1,20,300,0,0,120.732714,16.574445
2017,2,10,200,1,1,68.54795417,39.39506856
2017,1,30,100,0,0,93.9310888,25.06657276
2016,1,30,200,0,0,100.2633923,5.396168592
2016,1,10,100,2,0,85.219709,27.503555
2017,1,30,100,0,0,129.7143555,33.79383585
2017,2,10,100,0,0,-117.5532998,47.80539609
2016,1,10,100,0,0,174.57834,-36.933713
2016,1,10,100,1,0,78.401303,31.45206
2017,1,20,200,0,0,105.4547324,9.237362549
2017,1,20,200,3,0,83.65247597,28.06986667
2016,1,10,300,7,0,86.191717,28.007828
2017,1,20,100,1,0,83.95706865,28.27254506
2017,1,30,200,0,0,93.65975252,27.10647226
2017,1,10,200,0,0,74.41035052,14.52203442
2017,1,20,200,0,0,93.60815652,27.08168565
2017,1,10,200,0,0,75.80813836,33.18477201
2016,1,10,100,1,0,78.681379,30.922325
2017,1,30,100,0,0,75.29750088,33.08146902
2017,2,30,100,0,0,76.95661041,43.09367409
2016,1,30,100,0,0,100.309601,5.456131
2017,1,10,100,0,0,78.0685005,32.26186432
2017,1,10,100,0,0,78.06616409,32.24637329
2017,1,20,200,3,3,87.50256183,27.18732399
2017,1,10,100,0,0,-122.2381187,47.96243163
2017,2,10,100,1,0,93.50995626,27.769793
2017,1,10,200,12,0,-91.43664048,15.64525862
2016,1,10,100,0,0,81.811777,29.132062
2017,2,10,300,0,0,72.73033802,41.03212867
2017,1,20,300,38,0,80.18135876,6.518587251
2017,1,20,100,1,0,83.97447829,28.24831087
2016,1,10,200,0,1,78.936314,30.995694
2017,1,30,200,0,0,93.61899644,27.04768643
2016,1,10,200,0,0,84.469745,27.767046
2017,1,10,100,0,0,94.20340026,24.95178179
2017,2,10,200,0,0,69.52794225,39.81020345
2017,1,30,100,0,0,91.87351723,26.10035658
2017,1,30,300,5,19,112.0425655,28.15308814
2016,1,20,200,4,0,83.805661,27.943851
2016,1,10,100,0,0,-1.797239,50.71962
2016,1,10,100,1,3,106.791206,-6.589661
2016,1,10,100,0,0,113.921806,22.225713
2016,1,10,100,0,0,82.9415,28.239
2017,1,10,200,0,0,73.28423263,19.41286968
2017,1,20,100,0,0,91.79364785,26.14547804
2016,1,30,200,0,0,0.8546,51.4216
2015,1,20,200,0,0,74.4725,34.1587
2015,1,30,100,0,0,-116.9029,33.0742
2015,1,10,200,0,0,-92.2523,15.3482
2014,1,10,200,2,0,125.1335,7.7211
2014,1,20,200,0,0,-89.7739,13.7895
2013,1,10,200,3,0,111.2768,23.4946
2011,1,30,200,0,0,-75.6621,4.8349
2011,1,30,100,0,0,-84.4953,39.1075
2010,1,30,200,0,0,-76.4394,18.0083
2007,1,10,200,0,0,73.8277,15.4014
2007,1,10,200,1,0,-3.5875,54.5494
2007,1,10,200,2,0,-42.6734,-22.0452
2007,1,10,300,7,0,-42.53636205,-22.28234635
2008,1,30,200,0,0,81.3333,29.0833
2010,1,30,200,0,0,-82.6276,38.6198
2012,1,30,200,0,0,-117.6582,49.3265
2011,1,30,200,0,0,123.97,10.37
2011,1,30,100,0,0,-79.8375,40.6573
2015,1,10,100,0,0,-117.6744,49.3729
2011,1,10,200,0,0,75.2565,12.6771
2012,1,30,300,32,0,71.5447,34.0051
2012,1,10,300,0,0,-42.5329,-22.2815
2014,1,30,100,0,0,-1.55,50.6723
2010,1,30,200,0,0,-71.4216,-12.9655
2013,2,30,200,0,0,-117.6865,47.8907
2013,2,30,200,16,0,-40.9044,-12.3546
2013,1,30,200,0,0,16.6525,40.5452
2008,2,30,200,7,0,-70.4,-14
2014,2,20,100,0,0,-93.0553,44.9459
2011,1,30,200,4,0,106.7732,-6.584
2010,1,30,100,0,0,-122.3101,48.0079
2010,2,30,200,0,0,132.7681,33.8426
2007,1,10,200,0,0,125.4498,7.8098
2010,1,30,200,0,0,-43.2212,-22.5232
2007,2,10,200,3,0,89.4,22.5333
2012,1,10,200,0,0,-121.6406,45.7153
2011,1,20,200,1,0,125.5339,9.1196
2009,1,20,200,0,0,80.1327,29.4085
2008,2,30,100,0,0,-118.0459,34.1742
2007,1,10,100,0,0,-77.2682,38.6009
2010,1,30,200,0,0,75.6355,35.3585
2011,1,10,200,0,0,84.06527738,27.99134853
2012,1,10,200,0,0,-2.9339,51.3255
2016,2,30,100,0,0,-120.4218,38.7987
2010,1,30,200,0,0,108.7431,14.8315
2010,2,30,200,0,0,-43.2394,-22.9033
2015,1,10,100,0,0,-122.376,47.7166
2009,2,30,200,0,0,-71.489,-15.345
2013,1,30,100,0,0,-43.2087,-22.5444
2008,1,30,200,0,0,-84.397,9.764
2015,1,20,200,0,0,94.1078,24.1419
2011,1,30,300,0,0,105.3131,19.9436
2013,2,30,200,0,0,-106.4031,39.5672
2014,1,10,300,22,22,107.3407,26.9226
2010,2,30,200,2,0,-72.3902,-13.2122
2007,1,10,100,0,0,-4.9527,50.4444
2017,1,20,300,0,0,103.6653085,32.08059703
2013,1,10,200,0,0,79.0765,30.4619
2012,1,30,300,1,0,78.3221,30.1281
2010,1,30,200,0,0,73.4637,34.6644
2007,1,10,300,0,0,111.1835,-7.6511
2010,1,30,200,0,0,-43.288,-23.0099
2007,1,10,200,0,0,-2.2651,57.6778
2011,2,30,100,0,0,-122.547,37.9768
2010,1,30,200,0,0,75.203,33.3893
2013,2,10,100,0,0,145.8596,-41.0415
2011,1,30,300,20,0,113.5578,29.3046
2007,2,10,200,0,0,-123.1628,47.3434
2010,2,30,200,0,0,14.6074,40.6378
2010,1,30,200,0,0,-43.0783,-22.8887
2012,1,30,200,0,0,145.6506,-16.73
2010,1,30,200,0,0,75.2382,33.241
2010,1,30,200,0,0,90.5034,27.5
2007,1,10,300,10,0,-83.9451,10.0214
2014,1,20,200,0,0,-88.0843,13.293
2013,1,30,200,0,0,77.009,8.4557
2011,1,30,200,3,0,108.8115,15.1257
2008,1,30,200,3,0,-0.0798,6.011
2013,1,30,200,0,0,94.1167,25.616
2012,1,40,200,0,0,85.9742,27.978
2009,2,30,200,3,0,-99.2398,19.3161
2011,1,30,300,0,0,178.4779,-17.8893
2011,1,30,200,0,0,44.8448,41.9757
2015,1,10,200,0,0,83.6182,28.2576
2011,1,30,200,0,0,77.9798,31.5639
2015,1,30,200,0,0,77.1213,31.0365
2010,1,30,300,16,0,35.5842,1.2495
2013,2,30,100,1,0,78.6149,30.819
2014,1,20,100,0,0,-122.3657,47.9918
2011,1,30,200,3,0,173.9534,-39.1144
2012,1,30,300,6,0,43.7955,16.9664
2007,2,10,100,0,0,-106.8295,40.4613
2010,1,30,200,2,0,123.8421,13.1004
2016,2,30,200,0,0,73.1415,41.7649
2014,2,30,100,0,0,-117.7994,34.2062
2011,2,30,200,0,0,-122.2619,47.9582
2011,1,30,100,0,0,-83.0638,36.9284
2010,1,30,200,0,0,108.9881,11.989
2010,1,30,200,0,0,115.1648,4.5864
2013,1,10,100,0,0,-89.5567,40.6545
2016,2,30,300,2,1,114.0945,22.6194
2011,1,30,200,7,0,-78.4359,-2.0398
2015,2,30,100,0,0,-82.4939,37.4264
2011,1,30,200,0,0,-9.87,52.1596
2012,1,30,200,0,0,120.8299,16.5505
2009,1,30,100,0,0,-82.4322,37.4072
2010,1,30,200,0,0,83.88,27.59
2011,1,30,200,0,0,-123.6521,43.6712
2011,1,30,200,0,0,-7.332155031,54.99913875
2011,1,30,200,0,0,88.255,27.0605
2010,2,30,200,0,0,94.1351,25.4769
2012,1,30,200,2,0,102.1778,28.1018
2009,1,10,200,0,0,88.29184021,26.87324244
2010,1,30,200,0,0,115.1374,-8.1913
2015,2,10,100,0,0,-123.7858,46.6689
2014,1,20,100,12,0,-4.0351,5.314
2010,1,30,200,1,0,75.7627,33.334
2012,1,10,200,0,0,-105.3054,40.6862
2007,1,10,200,11,0,85.0249,27.4211
2013,1,20,200,8,0,110.8522,37.0016
2010,1,30,200,0,0,124.8955,6.1458
2008,2,10,100,0,0,-120.0477,48.3455
2008,1,30,200,7,0,-4.05,5.4833
2011,1,30,300,6,0,83.8713,28.9743
2010,1,30,200,0,0,108.3008,15.3012
2011,1,10,200,0,0,75.1921061,33.33875958
2010,2,10,100,0,0,-111.7619,46.6637
2007,1,10,200,4,0,98.4802,25.1424
2014,1,30,200,5,0,114.1384,26.6378
2010,1,30,200,0,0,74.158,36.1788
2010,1,30,100,0,0,73.3747,18.7624
2012,1,30,200,0,0,75.2373,33.2407
2013,1,30,200,0,0,-82.5412,35.6057
2011,1,30,200,5,0,122.7663,14.2245
2012,2,30,200,0,0,-2.9735,51.3512
2009,1,30,200,0,0,93.1645,25.5215
2010,1,30,200,0,0,-61.5335,10.6834
2015,1,20,200,0,0,75.2845,33.2049
2012,1,10,100,0,0,-119.7538,37.7289
2011,1,30,200,0,0,75.244,33.2609
2015,1,20,200,1,5,109.8971,31.0918
2016,1,20,200,0,0,-77.0428,18.2031
2017,2,20,100,0,0,-89.16745224,16.18792822
2011,1,30,200,1,0,77.2181,32.3491
2010,1,30,300,12,0,-44.3228,-23.0085
2010,1,30,200,0,0,124.3113,7.5048
2009,1,30,100,0,0,-122.3793,47.7628
2010,2,30,200,0,0,-108.0383,38.0053
2016,2,30,200,0,0,-121.8022,56.1127
2007,1,10,200,0,0,-2.301,37.3385
2013,1,30,200,0,0,-61.3583,15.2174
2011,1,30,200,0,0,81.1079,7.0381
2008,1,10,200,0,0,-121.086,47.7463
2010,2,30,200,0,0,37.07,-0.7978
2011,2,30,200,0,0,-77.4274,39.6526
2007,2,30,200,0,0,116.036,27.278
2014,2,10,100,0,0,27.912,43.2022
2010,1,30,200,0,0,115.087,-8.3251
2008,2,10,200,3,0,-72.3224,18.5283
2010,2,30,200,0,0,-83.6348,36.7411
2014,1,20,200,2,3,112.1686,23.8616
2011,1,30,200,0,0,123.2981,8.5091
2010,1,30,200,0,0,91.2,25.8833
2010,1,30,200,2,0,85.8416,27.7773
2010,1,30,200,0,0,86.6444,27.2485
2015,1,10,200,0,0,-92.1124,15.0337
2014,1,20,200,0,0,106.9272,-6.9197
2014,1,30,200,1,3,35.65,33.8745
2008,1,10,200,0,0,88.2778,26.885
2013,1,10,200,0,0,-82.7938,35.5429
2010,2,30,200,0,0,-122.3412,48.2357
2013,2,30,200,0,0,-110.1843,42.1823
2016,1,20,200,1,0,75.0582,32.6987
2016,1,30,200,0,0,75.3226,34.2952
2010,1,30,200,0,0,94.0462,25.3179
2016,1,30,300,0,0,109.4872,28.4314
2010,2,10,100,0,0,-119.7847,36.8242
2016,1,10,100,0,0,143.4041,-37.8145
2012,2,30,200,0,0,-104.9722,38.8971
2011,1,30,100,0,0,121.168,14.5902
2014,1,30,300,2,0,-71.9165,-11.6953
2007,1,10,200,0,0,93.4333,24.75
2008,1,10,200,0,0,113.9171,0.1115
2011,1,30,200,3,0,83.9704,27.8871
2014,2,20,200,0,0,-122.373,47.2473
2013,1,10,200,0,0,101.7022,3.1564
2014,1,10,200,0,0,91.7227,24.5784
2013,2,10,200,0,0,-80.0181,40.4239
2010,1,30,200,0,0,89.9019,27.8122
2008,1,30,200,0,0,107.2327,16.5489
2015,1,10,200,0,0,-84.778,13.7484
2012,1,10,300,2,0,35.56580095,0.771483087
2016,1,30,100,0,0,-58.1315,49.0099
2010,1,30,200,1,0,107.581,-7.2708
2010,1,30,200,0,0,1.8351,42.6975
2008,1,30,200,0,0,116.4333,6.3667
1997,1,30,200,0,0,-122.6172,47.6495
2015,1,10,200,0,0,-90.4862,14.6277
2007,1,10,200,0,0,80.2174,6.0327
2015,1,30,100,0,0,98.2879,7.874
2010,1,30,200,0,0,-124.2259,43.2479
2013,1,40,200,0,0,81.8833,29.1426
2012,2,30,200,0,0,-122.1128,47.6045
2009,2,10,100,0,0,-123.2331,46.1131
2009,1,20,200,0,0,84.3075,27.9504
2015,1,20,100,0,0,-83.9498,9.7962
2015,1,30,100,0,0,-122.1367,37.2524
2013,2,10,100,0,0,-120.3614,47.4289
2011,2,30,100,0,0,177.7137,-17.6195
2010,1,30,100,0,0,-82.6347,38.5805
2008,2,10,200,1,0,131.5241,33.2367
2011,2,30,200,3,0,-72.9667,7.35
2010,1,30,200,0,0,106.593,17.4468
2010,1,30,200,0,0,-76.5835,17.9647
2007,1,20,200,5,0,120.5519,16.3183
2008,1,10,200,0,0,-122.3829,44.8268
2011,1,10,200,0,0,75.496,34.1601
2008,1,10,200,0,0,55.652,25.5768
2013,2,30,200,0,4,-117.9722,36.1184
2010,1,30,200,0,0,-43.1067,-22.9149
2011,2,30,300,4,0,88.28,26.88
2009,1,30,200,1,0,-72.1287,-36.6203
2012,2,30,200,0,0,-111.9045,40.3309
2010,1,30,200,0,0,78.61786282,30.80200029
2010,1,30,200,0,0,-76.5029,18.1865
2011,1,30,200,0,0,-122.0125,46.3822
2015,1,10,200,2,2,87.6017,27.2625
2015,1,20,100,0,0,83.6117,28.2658
2012,1,30,200,0,0,-1.2666,60.1366
2016,1,10,100,0,0,-123.9047,45.5469
2015,1,10,200,0,0,-83.5565,9.3496
2010,1,30,200,0,0,-66.815,10.4393
2010,1,30,200,0,0,-122.1458,47.539
2011,1,30,200,1,0,127.5183,37.4138
2010,1,30,200,0,0,-76.2781,18.0445
2011,1,30,200,0,0,76.9792,9.6326
2015,1,20,100,0,0,6.7208,46.4885
2011,1,30,200,0,0,75.1773,33.3308
2013,1,10,200,0,0,79.2498,30.2835
2010,1,30,200,0,0,-122.2337,47.5704
2011,1,30,100,0,0,-2.8339,54.8861
2011,2,30,200,5,0,-77.3834,1.4499
2008,1,30,200,6,0,108.02,36.04
2012,1,30,200,0,0,177.5031,-18.1388
2007,2,10,200,3,0,-90.5316,14.6229
2012,2,10,200,0,0,-122.3622,48.1304
2012,1,30,200,0,0,-84.4481,39.1229
2013,1,30,200,0,0,76.8521,31.9671
2011,2,30,100,0,0,-122.509,37.8985
2007,1,10,300,0,0,72.983,35.273
2007,1,10,200,10,0,73.038,33.7033
2010,1,30,200,0,0,-61.3124,15.3211
2015,2,30,200,0,0,-76.6791,-11.9161
2013,1,10,200,0,0,-83.3698,36.8529
2007,1,10,200,0,0,108.4852,15.234
2010,1,30,200,0,0,-43.2491,-22.9417
2010,1,30,200,0,0,88.3162,26.8073
2013,2,10,200,11,0,99.3373,25.9365
2016,1,10,100,0,0,-75.074,2.7664
2010,1,30,300,30,0,110.501,22.8729
2015,1,10,200,0,0,-123.8975,46.9959
2011,1,30,200,2,0,80.3828,6.7043
2016,1,30,100,0,0,73.8976,15.3455
2015,2,30,100,0,0,-80.3132,40.7217
2010,1,30,200,0,0,83.5983,28.3401
2012,1,30,200,0,0,72.907,19.0397
2015,1,20,200,0,0,120.8246,16.5132
2012,1,30,200,0,0,76.9312,31.709
2010,1,30,300,24,0,99,25.6167
2015,1,30,200,0,0,79.4525,29.393
2012,1,30,200,0,0,77.1947,32.1797
2011,1,10,200,0,0,33.4318,-9.938
2011,1,30,200,0,0,84.094,27.9939
2015,1,20,200,0,0,-82.8232,8.5772
2009,1,30,100,0,0,77.1625,31.1032
2007,2,30,300,24,0,125.5401,3.5424
2011,2,30,200,0,0,-78.3664,-0.6273
2011,1,30,200,0,0,-43.0304,-22.411
2013,2,30,200,0,0,-105.4323,40.6784
2016,2,30,200,0,0,71.5193,40.0076
2010,2,30,100,0,0,-83.1816,37.034
2013,1,10,200,0,0,-83.0299,35.6172
2012,1,30,200,0,0,121.6034,14.6533
2007,1,10,200,6,0,117.7081,32.4792
2010,1,30,200,0,0,77.1889,31.9843
2016,1,30,200,0,0,-1.9953,52.5008
2011,2,30,200,0,0,-122.4897,46.6163
2014,1,20,200,0,0,-89.0401,13.5461
2010,1,30,200,1,0,91.885,25.5728
2011,1,30,200,0,0,105.6975,28.5919
2011,1,30,200,0,0,73.673,34.2256
